#  file: fmRawProjectAuthors2013-Sep.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in Sep of 2013
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2013) 
#  The project is available at: http://flossmole.org
#
#  SELECT fp.project_id, fp.projectname_short, fpa.author_name, fpa.author_role 
#  FROM `fm_project_authors` fpa, fm_projects fp 
#  WHERE fp.datasource_id=387
#  AND fpa.datasource_id=387
#  AND fpa.project_id = fp.project_id
#  ORDER BY fp.project_id
#
#  datasource_id = 387 is the Sep 2013 run on freshmeat.
project_id	projectname_short	author_name	author_role
2	0verkill    	Petr Kulhavy	Owner
6	1394-baseddigitalcameracontrollibrary    	Gord Peters	Project Manager
8	spatializer-x11-reference    	timecop	Owner
13	3d    	imipak	Owner
14	3dfile    	mircea	Owner
20	3dsiaprototype    	xandi	Owner
26	4p    	Jerronimo	Owner
27	4suite    	Mike Brown	Owner
27	4suite    	uche	Owner
30	5dtdataglovedriver    	Martin Oellermann	Owner
38	phatcat    	Dustin Grau	Owner
40	ah-tty    	Randy Maas	Owner
48	aafid2    	ZZamboni	Owner
53	abacus4    	FrankMcN	Owner
54	abcde    	Jesus Climent	Developer
54	abcde    	Robert Woodcock	Creator
55	abclock    	Peter Kleiweg	Owner
56	abiword    	Dom Lachowicz	Owner
56	abiword    	hippietrail	Contributor
56	abiword    	Hub	Contributor
56	abiword    	uwog	Contributor
58	abook    	JH	Owner
63	abyss    	Moez Mahfoudh	Owner
64	ac3d    	Inivis	Owner
66	acalc    	googleman	Owner
69	accurev    	AccuRev Inc.	Owner
80	ace    	Douglas C. Schmidt	Owner
81	acecad    	Edouard TISSERANT	Owner
82	achievo    	Sandy Pleyte	Owner
83	achilles    	emu	Owner
86	acidim    	Leandro Pereira	Owner
87	acmemail    	acme	Owner
87	acmemail    	Wim Kerkhoff	New admin
88	acpmodem    	IBM Linux Technology Center	Owner
93	acrotsr    	kapheine	Owner
95	actionpoll    	Robert Ladstaetter	Owner
98	activeperl    	Activator	Owner
99	activepython    	Activator	Owner
102	adacgi    	David A. Wheeler	Owner
108	addluser    	Joe Little	Owner
109	addns_pl    	David Hasson	Owner
114	adept    	Mikael Ulfenborg	Owner
116	adflib    	Laurent Clevy	Owner
122	adodb    	John Lim	Owner
123	adonthell    	Kai Sterker	Owner
123	adonthell    	Alexandre Courbot	Right Hand
130	advancedbashscriptingguide    	thegrendel	Owner
133	atftp    	Remi Lefebvre	Owner
136	aee    	hmahon	Owner
137	aegis    	Peter Miller	Owner
139	aescrypt    	Eric Lee Green	Owner
140	aewm    	Decklin Foster	Owner
141	afbackup    	Jalon Q. Zimmerman	Owner
142	afd    	Holger Kiehl	Owner
143	aqotdd    	Afghan Hound	Owner
144	afio    	Koen Holtman	Owner
145	afk    	Dave O Connor	Owner
146	ghostscript    	Raph Levien	Owner
148	aft    	Maroc	Owner
150	afterstep    	born2late	Documentation & Website
150	afterstep    	Sasha Vasko	Owner
150	afterstep    	Vaevictus	PR+ release manager
155	aglaophone    	Steve Holland	Owner
157	agnesbbs    	dB.	Owner
158	agnostos    	jtjm	Owner
160	agt    	Andy	Owner
164	aide    	Hannes von Haugwitz	Project Manager
166	aime    	George Noel	Owner
167	imirc    	Matthew Sachs	Owner
168	aips    	imipak	Owner
