#  file: fmRawProjectStats2013-Sep.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in 2013-Sep
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2013) 
#  The project is available at: http://flossmole.org
#
#  SELECT project_id, projectname_short, vitality_score, vitality_percent, 
#  vitality_rank, popularity_score, popularity_percent, popularity_rank, rating, 
#  rating_count, rating_rank, subscriptions
#  FROM `fm_projects`
#  WHERE datasource_id=387
#  ORDER BY project_id
#
#  datasource_id = 387 is the 2013-Sep run on freshmeat.
project_id	projectname_short	vitality_score	vitality_percent	vitality_rank	popularity_score	popularity_percent	popularity_rank	rating	rating_count	rating_rank	subscriptions
2	0verkill    	3.35    	NULL	NULL	288.09    	NULL	NULL	9    	13    	NULL	33    
6	1394-baseddigitalcameracontrollibrary    	1.82    	NULL	NULL	313.17    	NULL	NULL	0    	0    	NULL	43    
8	spatializer-x11-reference    	1.0    	NULL	NULL	91.02    	NULL	NULL	0    	1    	NULL	4    
13	3d    	13.46    	NULL	NULL	212.41    	NULL	NULL	3    	3    	NULL	23    
14	3dfile    	2.87    	NULL	NULL	205.55    	NULL	NULL	4    	6    	NULL	20    
16	3dom    	2.38    	NULL	NULL	91.79    	NULL	NULL	2    	2    	NULL	4    
17	3dplanetary    	1.0    	NULL	NULL	113.31    	NULL	NULL	7    	7    	NULL	9    
20	3dsiaprototype    	1.0    	NULL	NULL	80.17    	NULL	NULL	1    	2    	NULL	3    
25	4inarow    	1.0    	NULL	NULL	62.47    	NULL	NULL	0    	0    	NULL	2    
26	4p    	2.96    	NULL	NULL	116.28    	NULL	NULL	1    	1    	NULL	7    
27	4suite    	3.72    	NULL	NULL	245.6    	NULL	NULL	3    	3    	NULL	31    
30	5dtdataglovedriver    	1.47    	NULL	NULL	144.12    	NULL	NULL	1    	1    	NULL	11    
38	phatcat    	68.66    	NULL	NULL	141.92    	NULL	NULL	0    	0    	NULL	10    
39	atmail    	29.91    	NULL	NULL	581.03    	NULL	NULL	9    	21    	NULL	81    
40	ah-tty    	1.74    	NULL	NULL	117.47    	NULL	NULL	0    	0    	NULL	7    
41	asse    	68.6    	NULL	NULL	88.83    	NULL	NULL	0    	0    	NULL	5    
43	a_l_i_c_e_andaiml    	70.47    	NULL	NULL	100.16    	NULL	NULL	2    	3    	NULL	7    
45	a2ps    	2.61    	NULL	NULL	224.38    	NULL	NULL	7    	7    	NULL	40    
46	a3com    	1.0    	NULL	NULL	94.47    	NULL	NULL	0    	0    	NULL	6    
48	aafid2    	1.0    	NULL	NULL	94.44    	NULL	NULL	0    	1    	NULL	6    
53	abacus4    	1.45    	NULL	NULL	45.12    	NULL	NULL	0    	0    	NULL	1    
54	abcde    	7.05    	NULL	NULL	428.33    	NULL	NULL	20    	20    	NULL	80    
55	abclock    	1.73    	NULL	NULL	101.09    	NULL	NULL	2    	2    	NULL	6    
56	abiword    	11.28    	NULL	NULL	503.41    	NULL	NULL	37    	40    	NULL	187    
57	able    	69.76    	NULL	NULL	125.28    	NULL	NULL	0    	0    	NULL	8    
58	abook    	10.07    	NULL	NULL	317.02    	NULL	NULL	6    	6    	NULL	49    
63	abyss    	1.42    	NULL	NULL	169.84    	NULL	NULL	4    	5    	NULL	14    
